program_label,program,geoid,category,stusab,state,state_name,county,county_name,tract,pct_occupied,pct_minority,total_units,number_reported,pct_reported,pct_2adults,pct_1adult,pct_disabled_all,pct_age62plus,pct_white,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,pct_bed1,pct_bed2,pct_bed3,pct_hhwch,name,states
Summary,1,17197882900,census tract,IL,17,Illinois,197,Will County,882900,,,7.0,8,,,,,,,,,,,,,,,IL Illinois Will County 882900,IL Illinois
Housing Choice Vouchers,3,17197882900,census tract,IL,17,Illinois,197,Will County,882900,,,7.0,8,,,,,,,,,,,,,,,IL Illinois Will County 882900,IL Illinois
Summary,1,17197883000,census tract,IL,17,Illinois,197,Will County,883000,94.0,48.0,107.0,107,100.0,,10.0,13.0,81.0,52.0,37.0,1.0,1.0,8.0,85.0,7.0,8.0,10.0,IL Illinois Will County 883000,IL Illinois
Housing Choice Vouchers,3,17197883000,census tract,IL,17,Illinois,197,Will County,883000,86.0,88.0,15.0,17,100.0,,65.0,10.0,12.0,12.0,76.0,,,12.0,6.0,41.0,53.0,65.0,IL Illinois Will County 883000,IL Illinois
Project Based Section 8,4,17197883000,census tract,IL,17,Illinois,197,Will County,883000,95.0,40.0,92.0,90,100.0,,,14.0,94.0,60.0,30.0,1.0,1.0,8.0,100.0,,,,IL Illinois Will County 883000,IL Illinois
Summary,1,17197883100,census tract,IL,17,Illinois,197,Will County,883100,86.0,83.0,56.0,65,100.0,,65.0,13.0,15.0,17.0,83.0,,,0.0,3.0,38.0,58.0,65.0,IL Illinois Will County 883100,IL Illinois
Housing Choice Vouchers,3,17197883100,census tract,IL,17,Illinois,197,Will County,883100,86.0,84.0,55.0,64,100.0,,66.0,13.0,14.0,16.0,84.0,,,0.0,2.0,39.0,59.0,66.0,IL Illinois Will County 883100,IL Illinois
Project Based Section 8,4,17197883100,census tract,IL,17,Illinois,197,Will County,883100,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883100,IL Illinois
Summary,1,17197883206,census tract,IL,17,Illinois,197,Will County,883206,86.0,85.0,53.0,59,100.0,2.0,31.0,29.0,25.0,15.0,83.0,,,2.0,15.0,64.0,20.0,33.0,IL Illinois Will County 883206,IL Illinois
Housing Choice Vouchers,3,17197883206,census tract,IL,17,Illinois,197,Will County,883206,86.0,85.0,47.0,54,100.0,2.0,33.0,26.0,28.0,15.0,83.0,,,2.0,7.0,70.0,22.0,35.0,IL Illinois Will County 883206,IL Illinois
Other Multifamily,5,17197883206,census tract,IL,17,Illinois,197,Will County,883206,,,6.0,5,,,,,,,,,,,,,,,IL Illinois Will County 883206,IL Illinois
Summary,1,17197883208,census tract,IL,17,Illinois,197,Will County,883208,88.0,74.0,17.0,19,100.0,,58.0,13.0,21.0,26.0,74.0,,,0.0,11.0,26.0,63.0,58.0,IL Illinois Will County 883208,IL Illinois
Housing Choice Vouchers,3,17197883208,census tract,IL,17,Illinois,197,Will County,883208,86.0,82.0,15.0,17,100.0,,65.0,9.0,18.0,18.0,82.0,,,0.0,12.0,18.0,71.0,65.0,IL Illinois Will County 883208,IL Illinois
Other Multifamily,5,17197883208,census tract,IL,17,Illinois,197,Will County,883208,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Will County 883208,IL Illinois
Summary,1,17197883209,census tract,IL,17,Illinois,197,Will County,883209,,,3.0,4,,,,,,,,,,,,,,,IL Illinois Will County 883209,IL Illinois
Housing Choice Vouchers,3,17197883209,census tract,IL,17,Illinois,197,Will County,883209,,,3.0,4,,,,,,,,,,,,,,,IL Illinois Will County 883209,IL Illinois
Summary,1,17197883210,census tract,IL,17,Illinois,197,Will County,883210,97.0,41.0,137.0,136,100.0,,,6.0,96.0,59.0,26.0,1.0,,14.0,99.0,1.0,1.0,,IL Illinois Will County 883210,IL Illinois
Housing Choice Vouchers,3,17197883210,census tract,IL,17,Illinois,197,Will County,883210,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Will County 883210,IL Illinois
Project Based Section 8,4,17197883210,census tract,IL,17,Illinois,197,Will County,883210,97.0,41.0,134.0,133,100.0,,,4.0,98.0,59.0,26.0,1.0,,14.0,100.0,,,,IL Illinois Will County 883210,IL Illinois
Summary,1,17197883211,census tract,IL,17,Illinois,197,Will County,883211,88.0,81.0,31.0,32,100.0,,66.0,13.0,3.0,19.0,81.0,,,0.0,,34.0,66.0,66.0,IL Illinois Will County 883211,IL Illinois
Housing Choice Vouchers,3,17197883211,census tract,IL,17,Illinois,197,Will County,883211,86.0,96.0,23.0,27,100.0,,78.0,8.0,4.0,4.0,96.0,,,0.0,,22.0,78.0,78.0,IL Illinois Will County 883211,IL Illinois
Other Multifamily,5,17197883211,census tract,IL,17,Illinois,197,Will County,883211,,,8.0,5,,,,,,,,,,,,,,,IL Illinois Will County 883211,IL Illinois
Summary,1,17197883212,census tract,IL,17,Illinois,197,Will County,883212,97.0,29.0,13.0,14,100.0,,7.0,65.0,7.0,71.0,29.0,,,0.0,93.0,,7.0,7.0,IL Illinois Will County 883212,IL Illinois
Housing Choice Vouchers,3,17197883212,census tract,IL,17,Illinois,197,Will County,883212,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883212,IL Illinois
Other Multifamily,5,17197883212,census tract,IL,17,Illinois,197,Will County,883212,98.0,23.0,12.0,13,100.0,,,85.0,8.0,77.0,23.0,,,0.0,100.0,,,,IL Illinois Will County 883212,IL Illinois
Summary,1,17197883213,census tract,IL,17,Illinois,197,Will County,883213,86.0,83.0,10.0,12,100.0,,75.0,11.0,8.0,17.0,67.0,,,17.0,,8.0,92.0,75.0,IL Illinois Will County 883213,IL Illinois
Housing Choice Vouchers,3,17197883213,census tract,IL,17,Illinois,197,Will County,883213,86.0,83.0,10.0,12,100.0,,75.0,11.0,8.0,17.0,67.0,,,17.0,,8.0,92.0,75.0,IL Illinois Will County 883213,IL Illinois
Summary,1,17197883214,census tract,IL,17,Illinois,197,Will County,883214,,,4.0,5,,,,,,,,,,,,,,,IL Illinois Will County 883214,IL Illinois
Housing Choice Vouchers,3,17197883214,census tract,IL,17,Illinois,197,Will County,883214,,,4.0,5,,,,,,,,,,,,,,,IL Illinois Will County 883214,IL Illinois
Summary,1,17197883216,census tract,IL,17,Illinois,197,Will County,883216,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Will County 883216,IL Illinois
Housing Choice Vouchers,3,17197883216,census tract,IL,17,Illinois,197,Will County,883216,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Will County 883216,IL Illinois
Summary,1,17197883217,census tract,IL,17,Illinois,197,Will County,883217,86.0,97.0,27.0,31,100.0,3.0,77.0,15.0,10.0,3.0,94.0,,3.0,0.0,,3.0,97.0,80.0,IL Illinois Will County 883217,IL Illinois
Housing Choice Vouchers,3,17197883217,census tract,IL,17,Illinois,197,Will County,883217,86.0,97.0,27.0,31,100.0,3.0,77.0,15.0,10.0,3.0,94.0,,3.0,0.0,,3.0,97.0,80.0,IL Illinois Will County 883217,IL Illinois
Summary,1,17197883218,census tract,IL,17,Illinois,197,Will County,883218,86.0,100.0,10.0,12,100.0,,100.0,4.0,,0.0,100.0,,,0.0,,,100.0,100.0,IL Illinois Will County 883218,IL Illinois
Housing Choice Vouchers,3,17197883218,census tract,IL,17,Illinois,197,Will County,883218,86.0,100.0,10.0,12,100.0,,100.0,4.0,,0.0,100.0,,,0.0,,,100.0,100.0,IL Illinois Will County 883218,IL Illinois
Summary,1,17197883219,census tract,IL,17,Illinois,197,Will County,883219,,,6.0,7,,,,,,,,,,,,,,,IL Illinois Will County 883219,IL Illinois
Housing Choice Vouchers,3,17197883219,census tract,IL,17,Illinois,197,Will County,883219,,,6.0,7,,,,,,,,,,,,,,,IL Illinois Will County 883219,IL Illinois
Summary,1,17197883303,census tract,IL,17,Illinois,197,Will County,883303,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883303,IL Illinois
Housing Choice Vouchers,3,17197883303,census tract,IL,17,Illinois,197,Will County,883303,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883303,IL Illinois
Summary,1,17197883305,census tract,IL,17,Illinois,197,Will County,883305,86.0,38.0,14.0,16,100.0,,6.0,23.0,88.0,62.0,31.0,,,6.0,50.0,38.0,13.0,6.0,IL Illinois Will County 883305,IL Illinois
Housing Choice Vouchers,3,17197883305,census tract,IL,17,Illinois,197,Will County,883305,86.0,38.0,14.0,16,100.0,,6.0,23.0,88.0,62.0,31.0,,,6.0,50.0,38.0,13.0,6.0,IL Illinois Will County 883305,IL Illinois
Summary,1,17197883307,census tract,IL,17,Illinois,197,Will County,883307,,,5.0,6,,,,,,,,,,,,,,,IL Illinois Will County 883307,IL Illinois
Housing Choice Vouchers,3,17197883307,census tract,IL,17,Illinois,197,Will County,883307,,,5.0,6,,,,,,,,,,,,,,,IL Illinois Will County 883307,IL Illinois
Summary,1,17197883401,census tract,IL,17,Illinois,197,Will County,883401,95.0,11.0,33.0,36,100.0,,3.0,51.0,58.0,89.0,8.0,,,3.0,78.0,22.0,,3.0,IL Illinois Will County 883401,IL Illinois
Housing Choice Vouchers,3,17197883401,census tract,IL,17,Illinois,197,Will County,883401,86.0,36.0,9.0,11,100.0,,9.0,64.0,27.0,64.0,27.0,,,9.0,27.0,73.0,,9.0,IL Illinois Will County 883401,IL Illinois
Project Based Section 8,4,17197883401,census tract,IL,17,Illinois,197,Will County,883401,98.0,0.0,24.0,25,100.0,,,44.0,72.0,100.0,,,,0.0,100.0,,,,IL Illinois Will County 883401,IL Illinois
Summary,1,17197883504,census tract,IL,17,Illinois,197,Will County,883504,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883504,IL Illinois
Housing Choice Vouchers,3,17197883504,census tract,IL,17,Illinois,197,Will County,883504,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883504,IL Illinois
Summary,1,17197883505,census tract,IL,17,Illinois,197,Will County,883505,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883505,IL Illinois
Housing Choice Vouchers,3,17197883505,census tract,IL,17,Illinois,197,Will County,883505,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883505,IL Illinois
Summary,1,17197883509,census tract,IL,17,Illinois,197,Will County,883509,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Will County 883509,IL Illinois
Housing Choice Vouchers,3,17197883509,census tract,IL,17,Illinois,197,Will County,883509,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Will County 883509,IL Illinois
Summary,1,17197883510,census tract,IL,17,Illinois,197,Will County,883510,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883510,IL Illinois
Housing Choice Vouchers,3,17197883510,census tract,IL,17,Illinois,197,Will County,883510,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883510,IL Illinois
Summary,1,17197883511,census tract,IL,17,Illinois,197,Will County,883511,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Will County 883511,IL Illinois
Housing Choice Vouchers,3,17197883511,census tract,IL,17,Illinois,197,Will County,883511,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Will County 883511,IL Illinois
Summary,1,17197883513,census tract,IL,17,Illinois,197,Will County,883513,86.0,57.0,26.0,30,100.0,,,34.0,87.0,43.0,57.0,,,0.0,43.0,57.0,,,IL Illinois Will County 883513,IL Illinois
Housing Choice Vouchers,3,17197883513,census tract,IL,17,Illinois,197,Will County,883513,86.0,57.0,26.0,30,100.0,,,34.0,87.0,43.0,57.0,,,0.0,43.0,57.0,,,IL Illinois Will County 883513,IL Illinois
Summary,1,17197883514,census tract,IL,17,Illinois,197,Will County,883514,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883514,IL Illinois
Housing Choice Vouchers,3,17197883514,census tract,IL,17,Illinois,197,Will County,883514,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883514,IL Illinois
Summary,1,17197883517,census tract,IL,17,Illinois,197,Will County,883517,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883517,IL Illinois
Housing Choice Vouchers,3,17197883517,census tract,IL,17,Illinois,197,Will County,883517,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883517,IL Illinois
Summary,1,17197883519,census tract,IL,17,Illinois,197,Will County,883519,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883519,IL Illinois
Housing Choice Vouchers,3,17197883519,census tract,IL,17,Illinois,197,Will County,883519,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883519,IL Illinois
Summary,1,17197883602,census tract,IL,17,Illinois,197,Will County,883602,,,4.0,5,,,,,,,,,,,,,,,IL Illinois Will County 883602,IL Illinois
Housing Choice Vouchers,3,17197883602,census tract,IL,17,Illinois,197,Will County,883602,,,4.0,5,,,,,,,,,,,,,,,IL Illinois Will County 883602,IL Illinois
Summary,1,17197883603,census tract,IL,17,Illinois,197,Will County,883603,84.0,94.0,173.0,198,100.0,2.0,18.0,44.0,39.0,6.0,92.0,,,3.0,75.0,11.0,15.0,20.0,IL Illinois Will County 883603,IL Illinois
Housing Choice Vouchers,3,17197883603,census tract,IL,17,Illinois,197,Will County,883603,84.0,94.0,173.0,198,100.0,2.0,18.0,44.0,39.0,6.0,92.0,,,3.0,75.0,11.0,15.0,20.0,IL Illinois Will County 883603,IL Illinois
Summary,1,17197883605,census tract,IL,17,Illinois,197,Will County,883605,86.0,97.0,97.0,109,100.0,1.0,51.0,15.0,15.0,3.0,95.0,,,2.0,10.0,47.0,43.0,52.0,IL Illinois Will County 883605,IL Illinois
Housing Choice Vouchers,3,17197883605,census tract,IL,17,Illinois,197,Will County,883605,86.0,97.0,96.0,108,100.0,1.0,51.0,16.0,15.0,3.0,95.0,,,2.0,10.0,46.0,44.0,52.0,IL Illinois Will County 883605,IL Illinois
Project Based Section 8,4,17197883605,census tract,IL,17,Illinois,197,Will County,883605,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883605,IL Illinois
Summary,1,17197883606,census tract,IL,17,Illinois,197,Will County,883606,87.0,98.0,44.0,49,100.0,,71.0,13.0,12.0,2.0,98.0,,,0.0,2.0,,98.0,71.0,IL Illinois Will County 883606,IL Illinois
Housing Choice Vouchers,3,17197883606,census tract,IL,17,Illinois,197,Will County,883606,87.0,100.0,43.0,48,100.0,,73.0,13.0,10.0,0.0,100.0,,,0.0,,,100.0,73.0,IL Illinois Will County 883606,IL Illinois
Project Based Section 8,4,17197883606,census tract,IL,17,Illinois,197,Will County,883606,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883606,IL Illinois
Summary,1,17197883700,census tract,IL,17,Illinois,197,Will County,883700,,,4.0,4,,,,,,,,,,,,,,,IL Illinois Will County 883700,IL Illinois
Housing Choice Vouchers,3,17197883700,census tract,IL,17,Illinois,197,Will County,883700,,,4.0,4,,,,,,,,,,,,,,,IL Illinois Will County 883700,IL Illinois
Summary,1,17197883803,census tract,IL,17,Illinois,197,Will County,883803,84.0,94.0,15.0,17,100.0,,35.0,11.0,24.0,6.0,88.0,,,6.0,41.0,35.0,24.0,35.0,IL Illinois Will County 883803,IL Illinois
Housing Choice Vouchers,3,17197883803,census tract,IL,17,Illinois,197,Will County,883803,84.0,94.0,15.0,17,100.0,,35.0,11.0,24.0,6.0,88.0,,,6.0,41.0,35.0,24.0,35.0,IL Illinois Will County 883803,IL Illinois
Summary,1,17197883804,census tract,IL,17,Illinois,197,Will County,883804,,,5.0,6,,,,,,,,,,,,,,,IL Illinois Will County 883804,IL Illinois
Housing Choice Vouchers,3,17197883804,census tract,IL,17,Illinois,197,Will County,883804,,,5.0,6,,,,,,,,,,,,,,,IL Illinois Will County 883804,IL Illinois
Summary,1,17197883806,census tract,IL,17,Illinois,197,Will County,883806,93.0,54.0,13.0,13,100.0,,8.0,72.0,8.0,46.0,46.0,,,8.0,92.0,,8.0,8.0,IL Illinois Will County 883806,IL Illinois
Housing Choice Vouchers,3,17197883806,census tract,IL,17,Illinois,197,Will County,883806,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883806,IL Illinois
Other Multifamily,5,17197883806,census tract,IL,17,Illinois,197,Will County,883806,93.0,50.0,12.0,12,100.0,,,100.0,8.0,50.0,42.0,,,8.0,100.0,,,,IL Illinois Will County 883806,IL Illinois
Summary,1,17197883808,census tract,IL,17,Illinois,197,Will County,883808,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883808,IL Illinois
Housing Choice Vouchers,3,17197883808,census tract,IL,17,Illinois,197,Will County,883808,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883808,IL Illinois
Summary,1,17197883809,census tract,IL,17,Illinois,197,Will County,883809,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Will County 883809,IL Illinois
Housing Choice Vouchers,3,17197883809,census tract,IL,17,Illinois,197,Will County,883809,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Will County 883809,IL Illinois
Other Multifamily,5,17197883809,census tract,IL,17,Illinois,197,Will County,883809,,,5.0,5,,,,,,,,,,,,,,,IL Illinois Will County 883809,IL Illinois
Summary,1,17197883810,census tract,IL,17,Illinois,197,Will County,883810,91.0,61.0,17.0,18,100.0,,17.0,43.0,44.0,39.0,61.0,,,0.0,50.0,22.0,28.0,17.0,IL Illinois Will County 883810,IL Illinois
Housing Choice Vouchers,3,17197883810,census tract,IL,17,Illinois,197,Will County,883810,86.0,92.0,10.0,12,100.0,,25.0,29.0,58.0,8.0,92.0,,,0.0,25.0,33.0,42.0,25.0,IL Illinois Will County 883810,IL Illinois
Other Multifamily,5,17197883810,census tract,IL,17,Illinois,197,Will County,883810,,,7.0,6,,,,,,,,,,,,,,,IL Illinois Will County 883810,IL Illinois
Summary,1,17197883811,census tract,IL,17,Illinois,197,Will County,883811,,,5.0,6,,,,,,,,,,,,,,,IL Illinois Will County 883811,IL Illinois
Housing Choice Vouchers,3,17197883811,census tract,IL,17,Illinois,197,Will County,883811,,,5.0,6,,,,,,,,,,,,,,,IL Illinois Will County 883811,IL Illinois
Summary,1,17197883902,census tract,IL,17,Illinois,197,Will County,883902,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883902,IL Illinois
Housing Choice Vouchers,3,17197883902,census tract,IL,17,Illinois,197,Will County,883902,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883902,IL Illinois
Summary,1,17197883903,census tract,IL,17,Illinois,197,Will County,883903,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883903,IL Illinois
Housing Choice Vouchers,3,17197883903,census tract,IL,17,Illinois,197,Will County,883903,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 883903,IL Illinois
Summary,1,17197884003,census tract,IL,17,Illinois,197,Will County,884003,92.0,33.0,14.0,15,100.0,,13.0,65.0,40.0,67.0,27.0,7.0,,0.0,87.0,,13.0,13.0,IL Illinois Will County 884003,IL Illinois
Housing Choice Vouchers,3,17197884003,census tract,IL,17,Illinois,197,Will County,884003,,,7.0,8,,,,,,,,,,,,,,,IL Illinois Will County 884003,IL Illinois
Other Multifamily,5,17197884003,census tract,IL,17,Illinois,197,Will County,884003,,,7.0,7,,,,,,,,,,,,,,,IL Illinois Will County 884003,IL Illinois
Summary,1,17197884004,census tract,IL,17,Illinois,197,Will County,884004,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 884004,IL Illinois
Housing Choice Vouchers,3,17197884004,census tract,IL,17,Illinois,197,Will County,884004,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 884004,IL Illinois
Summary,1,17197884006,census tract,IL,17,Illinois,197,Will County,884006,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 884006,IL Illinois
Housing Choice Vouchers,3,17197884006,census tract,IL,17,Illinois,197,Will County,884006,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Will County 884006,IL Illinois
Summary,1,17197884101,census tract,IL,17,Illinois,197,Will County,884101,86.0,94.0,16.0,18,100.0,,72.0,8.0,6.0,6.0,94.0,,,0.0,,22.0,78.0,72.0,IL Illinois Will County 884101,IL Illinois
Housing Choice Vouchers,3,17197884101,census tract,IL,17,Illinois,197,Will County,884101,86.0,94.0,16.0,18,100.0,,72.0,8.0,6.0,6.0,94.0,,,0.0,,22.0,78.0,72.0,IL Illinois Will County 884101,IL Illinois
Summary,1,17197884103,census tract,IL,17,Illinois,197,Will County,884103,,,6.0,7,,,,,,,,,,,,,,,IL Illinois Will County 884103,IL Illinois
Housing Choice Vouchers,3,17197884103,census tract,IL,17,Illinois,197,Will County,884103,,,6.0,7,,,,,,,,,,,,,,,IL Illinois Will County 884103,IL Illinois
Summary,1,17199020100,census tract,IL,17,Illinois,199,Williamson County,020100,93.0,3.0,43.0,40,100.0,,18.0,18.0,53.0,97.0,3.0,,,0.0,58.0,25.0,18.0,18.0,IL Illinois Williamson County 020100,IL Illinois
Public Housing,2,17199020100,census tract,IL,17,Illinois,199,Williamson County,020100,95.0,3.0,38.0,36,100.0,,14.0,19.0,58.0,97.0,3.0,,,0.0,64.0,28.0,8.0,14.0,IL Illinois Williamson County 020100,IL Illinois
Housing Choice Vouchers,3,17199020100,census tract,IL,17,Illinois,199,Williamson County,020100,,,5.0,4,,,,,,,,,,,,,,,IL Illinois Williamson County 020100,IL Illinois
Summary,1,17199020201,census tract,IL,17,Illinois,199,Williamson County,020201,89.0,14.0,102.0,90,99.0,2.0,32.0,16.0,36.0,86.0,13.0,,,1.0,43.0,29.0,28.0,34.0,IL Illinois Williamson County 020201,IL Illinois
Public Housing,2,17199020201,census tract,IL,17,Illinois,199,Williamson County,020201,95.0,9.0,83.0,79,100.0,3.0,30.0,16.0,37.0,91.0,8.0,,,1.0,47.0,27.0,27.0,33.0,IL Illinois Williamson County 020201,IL Illinois
Housing Choice Vouchers,3,17199020201,census tract,IL,17,Illinois,199,Williamson County,020201,60.0,55.0,19.0,11,96.0,,45.0,15.0,27.0,45.0,55.0,,,0.0,18.0,45.0,36.0,45.0,IL Illinois Williamson County 020201,IL Illinois
Summary,1,17199020202,census tract,IL,17,Illinois,199,Williamson County,020202,,,11.0,6,,,,,,,,,,,,,,,IL Illinois Williamson County 020202,IL Illinois
Housing Choice Vouchers,3,17199020202,census tract,IL,17,Illinois,199,Williamson County,020202,,,11.0,6,,,,,,,,,,,,,,,IL Illinois Williamson County 020202,IL Illinois
Summary,1,17199020300,census tract,IL,17,Illinois,199,Williamson County,020300,82.0,17.0,29.0,23,98.0,4.0,26.0,20.0,52.0,83.0,17.0,,,0.0,43.0,39.0,17.0,30.0,IL Illinois Williamson County 020300,IL Illinois
Public Housing,2,17199020300,census tract,IL,17,Illinois,199,Williamson County,020300,92.0,0.0,15.0,14,100.0,,,50.0,79.0,100.0,,,,0.0,71.0,29.0,,,IL Illinois Williamson County 020300,IL Illinois
Housing Choice Vouchers,3,17199020300,census tract,IL,17,Illinois,199,Williamson County,020300,,,13.0,9,,,,,,,,,,,,,,,IL Illinois Williamson County 020300,IL Illinois
Summary,1,17199020400,census tract,IL,17,Illinois,199,Williamson County,020400,88.0,6.0,241.0,211,99.0,0.0,22.0,24.0,40.0,94.0,4.0,0.0,,1.0,69.0,18.0,14.0,22.0,IL Illinois Williamson County 020400,IL Illinois
Public Housing,2,17199020400,census tract,IL,17,Illinois,199,Williamson County,020400,92.0,4.0,200.0,183,100.0,1.0,16.0,27.0,43.0,96.0,2.0,,,2.0,77.0,13.0,10.0,17.0,IL Illinois Williamson County 020400,IL Illinois
Housing Choice Vouchers,3,17199020400,census tract,IL,17,Illinois,199,Williamson County,020400,71.0,18.0,41.0,28,96.0,,61.0,10.0,21.0,82.0,14.0,4.0,,0.0,18.0,46.0,36.0,61.0,IL Illinois Williamson County 020400,IL Illinois
Summary,1,17199020500,census tract,IL,17,Illinois,199,Williamson County,020500,89.0,11.0,109.0,96,99.0,6.0,57.0,5.0,8.0,89.0,11.0,,,0.0,16.0,42.0,43.0,63.0,IL Illinois Williamson County 020500,IL Illinois
Public Housing,2,17199020500,census tract,IL,17,Illinois,199,Williamson County,020500,92.0,11.0,96.0,88,100.0,7.0,57.0,5.0,9.0,89.0,11.0,,,0.0,17.0,44.0,39.0,64.0,IL Illinois Williamson County 020500,IL Illinois
Housing Choice Vouchers,3,17199020500,census tract,IL,17,Illinois,199,Williamson County,020500,,,13.0,8,,,,,,,,,,,,,,,IL Illinois Williamson County 020500,IL Illinois
Summary,1,17199020600,census tract,IL,17,Illinois,199,Williamson County,020600,82.0,14.0,43.0,35,99.0,,49.0,12.0,17.0,86.0,11.0,,,3.0,11.0,69.0,20.0,49.0,IL Illinois Williamson County 020600,IL Illinois
Public Housing,2,17199020600,census tract,IL,17,Illinois,199,Williamson County,020600,92.0,4.0,26.0,24,100.0,,29.0,15.0,21.0,96.0,4.0,,,0.0,17.0,83.0,,29.0,IL Illinois Williamson County 020600,IL Illinois
Housing Choice Vouchers,3,17199020600,census tract,IL,17,Illinois,199,Williamson County,020600,67.0,36.0,17.0,11,96.0,,91.0,8.0,9.0,64.0,27.0,,,9.0,,36.0,64.0,91.0,IL Illinois Williamson County 020600,IL Illinois
Summary,1,17199020700,census tract,IL,17,Illinois,199,Williamson County,020700,94.0,7.0,138.0,128,99.0,3.0,30.0,16.0,34.0,93.0,7.0,,,0.0,48.0,38.0,14.0,33.0,IL Illinois Williamson County 020700,IL Illinois
Public Housing,2,17199020700,census tract,IL,17,Illinois,199,Williamson County,020700,95.0,7.0,131.0,123,99.0,3.0,28.0,16.0,35.0,93.0,7.0,,,0.0,49.0,39.0,12.0,31.0,IL Illinois Williamson County 020700,IL Illinois
Housing Choice Vouchers,3,17199020700,census tract,IL,17,Illinois,199,Williamson County,020700,,,7.0,5,,,,,,,,,,,,,,,IL Illinois Williamson County 020700,IL Illinois
Summary,1,17199020802,census tract,IL,17,Illinois,199,Williamson County,020802,95.0,0.0,25.0,24,99.0,4.0,17.0,13.0,29.0,100.0,,,,0.0,58.0,17.0,25.0,21.0,IL Illinois Williamson County 020802,IL Illinois
Public Housing,2,17199020802,census tract,IL,17,Illinois,199,Williamson County,020802,95.0,0.0,24.0,23,99.0,4.0,17.0,11.0,30.0,100.0,,,,0.0,61.0,17.0,22.0,21.0,IL Illinois Williamson County 020802,IL Illinois
Housing Choice Vouchers,3,17199020802,census tract,IL,17,Illinois,199,Williamson County,020802,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Williamson County 020802,IL Illinois
Summary,1,17199020900,census tract,IL,17,Illinois,199,Williamson County,020900,,,9.0,8,,,,,,,,,,,,,,,IL Illinois Williamson County 020900,IL Illinois
Housing Choice Vouchers,3,17199020900,census tract,IL,17,Illinois,199,Williamson County,020900,,,9.0,8,,,,,,,,,,,,,,,IL Illinois Williamson County 020900,IL Illinois
Summary,1,17199021001,census tract,IL,17,Illinois,199,Williamson County,021001,94.0,15.0,318.0,306,100.0,0.0,17.0,26.0,45.0,85.0,13.0,1.0,1.0,1.0,73.0,22.0,5.0,17.0,IL Illinois Williamson County 021001,IL Illinois
Public Housing,2,17199021001,census tract,IL,17,Illinois,199,Williamson County,021001,100.0,15.0,167.0,167,100.0,,2.0,45.0,50.0,85.0,14.0,,1.0,0.0,95.0,4.0,1.0,2.0,IL Illinois Williamson County 021001,IL Illinois
Housing Choice Vouchers,3,17199021001,census tract,IL,17,Illinois,199,Williamson County,021001,82.0,32.0,31.0,25,98.0,,24.0,28.0,32.0,68.0,32.0,,,0.0,48.0,36.0,16.0,24.0,IL Illinois Williamson County 021001,IL Illinois
Project Based Section 8,4,17199021001,census tract,IL,17,Illinois,199,Williamson County,021001,89.0,11.0,120.0,114,100.0,1.0,38.0,9.0,39.0,89.0,6.0,2.0,2.0,2.0,46.0,45.0,9.0,39.0,IL Illinois Williamson County 021001,IL Illinois
